Timestamp,Peak Player Count
2020-04-02 13:00:00,76574
2020-04-02 14:00:00,79658
2020-04-02 15:00:00,84442
2020-04-02 16:00:00,87543
2020-04-02 17:00:00,90039
2020-04-02 18:00:00,90631
2020-04-02 19:00:00,90172
2020-04-02 20:00:00,87614
2020-04-02 21:00:00,81953
2020-04-02 22:00:00,76329
2020-04-02 23:00:00,71228
2020-04-03 00:00:00,71190
2020-04-03 01:00:00,70704
2020-04-03 02:00:00,69633
2020-04-03 03:00:00,63139
2020-04-03 04:00:00,60466
2020-04-03 05:00:00,54146
2020-04-03 06:00:00,49992
2020-04-03 07:00:00,50987
2020-04-03 08:00:00,54455
2020-04-03 09:00:00,58579
2020-04-03 10:00:00,59988
2020-04-03 11:00:00,66105
2020-04-03 12:00:00,71944
2020-04-03 13:00:00,76577
2020-04-03 14:00:00,81091
2020-04-03 15:00:00,85147
2020-04-03 16:00:00,88664
2020-04-03 17:00:00,90421
2020-04-03 18:00:00,92214
2020-04-03 19:00:00,92142
2020-04-03 20:00:00,91470
2020-04-03 21:00:00,89106
2020-04-03 22:00:00,85073
2020-04-03 23:00:00,74342
2020-04-04 00:00:00,74963
2020-04-04 01:00:00,74366
2020-04-04 02:00:00,73246
2020-04-04 03:00:00,70757
2020-04-04 04:00:00,66807
2020-04-04 05:00:00,60937
2020-04-04 06:00:00,56152
2020-04-04 07:00:00,54251
2020-04-04 08:00:00,56821
2020-04-04 09:00:00,61125
2020-04-04 10:00:00,63473
2020-04-04 11:00:00,68175
2020-04-04 12:00:00,74360
2020-04-04 13:00:00,79139
2020-04-04 14:00:00,84436
2020-04-04 15:00:00,88135
2020-04-04 16:00:00,87833
2020-04-04 17:00:00,90515
2020-04-04 18:00:00,91838
2020-04-04 19:00:00,92536
2020-04-04 20:00:00,92037
2020-04-04 21:00:00,89767
2020-04-04 22:00:00,84441
2020-04-04 23:00:00,78329
2020-04-05 00:00:00,75682
2020-04-05 01:00:00,74622
2020-04-05 02:00:00,74124
2020-04-05 03:00:00,71980
2020-04-05 04:00:00,67357
2020-04-05 05:00:00,62059
2020-04-05 06:00:00,56119
2020-04-05 07:00:00,54416
2020-04-05 08:00:00,57196
2020-04-05 09:00:00,61017
2020-04-05 10:00:00,63695
2020-04-05 11:00:00,67710
2020-04-05 12:00:00,71748
2020-04-05 13:00:00,75500
2020-04-05 14:00:00,79607
2020-04-05 15:00:00,84320
2020-04-05 16:00:00,88302
2020-04-05 17:00:00,90799
2020-04-05 18:00:00,92317
2020-04-05 19:00:00,91954
2020-04-05 20:00:00,90352
2020-04-05 21:00:00,85838
2020-04-05 22:00:00,73498
2020-04-05 23:00:00,73333
2020-04-06 00:00:00,72823
2020-04-06 01:00:00,72432
